,start time,end time,cumulative rainfall,rainfall duration,maximum 48-hour rainfall,rainfall in the previous 10 days,Wan San cumulative rainfall,flood peak,flood peak time,water level,rising flow
95,2017/5/20 20:00,2017/5/23 4:00,27,56,27,34,21,4025,2017/5/22 22:00,152.9,926.8183462
96,2017/6/3 21:00,2017/6/5 8:00,48,35,48.5,1,58,8638,2017/6/5 8:00,147.4,1034.471731
97,2017/6/9 6:00,2017/6/10 7:00,15,25,15.8,49,20,3951,2017/6/10 20:00,145.2,2189.497269
98,2017/6/14 9:00,2017/6/15 16:00,21,31,22.3,64,22,5921,2017/6/15 20:00,145.6,1743.940962
99,2017/6/23 17:00,2017/6/24 20:00,10,27,11.7,23,8,2281,2017/6/24 12:00,145.2,1326.935692
100,2017/7/6 2:00,2017/7/9 7:00,68,77,47,7,93,10354,2017/7/9 8:00,156.8,1514.517731
101,2017/7/14 5:00,2017/7/15 14:00,26,33,28.1,70,35,7096,2017/7/14 20:00,153.8,1073.287885
102,2017/7/16 6:00,2017/7/17 8:00,12,26,13,93,19,6256,2017/7/16 18:00,153.2,2874.949115
103,2017/8/4 13:00,2017/8/4 23:00,7,10,7.5,9,9,1866,2017/8/4 22:00,145.4,1223.802538
104,2017/8/8 0:00,2017/8/8 15:00,33,15,33.5,18,41,5897,2017/8/8 10:00,146.3,957.0125385
105,2017/8/11 5:00,2017/8/12 3:00,6,22,7.4,48,6,3431,2017/8/11 11:00,147.2,1374.336923
106,2017/8/13 3:00,2017/8/14 7:00,7,28,8.4,54,13,3208,2017/8/14 10:00,147.4,534.9155769
107,2017/8/24 13:00,2017/8/25 19:00,10,30,11.3,0,7,1570,2017/8/24 22:00,146.9,911.8654615
108,2017/8/30 21:00,2017/9/3 16:00,52,91,39,12,57,5080,2017/9/2 14:00,150.5,71.06753846
109,2017/9/5 5:00,2017/9/6 4:00,9,23,10.3,55,13,4333,2017/9/6 8:00,151.7,1991.586923
110,2017/9/8 18:00,2017/9/10 12:00,45,42,45.6,63,47,13075,2017/9/10 8:00,154.6,1258.986769
