name,test_name,dissimilarity_space,dissimilarity_time
129,249,0.281087,0.469220
189,249,0.225728,0.455446
35,249,0.223130,0.440223
126,249,0.231839,0.453135
76,249,0.230164,0.432538
155,249,0.265293,0.453876
174,249,0.216436,0.432083
172,249,0.252549,0.435491
22,249,0.240549,0.485937
69,250,0.253730,0.451619
96,250,0.267003,0.430277
45,250,0.245676,0.442862
40,250,0.213853,0.465704
17,250,0.222384,0.422095
130,250,0.263812,0.420002
71,250,0.215540,0.444725
110,250,0.250852,0.463889
204,250,0.220498,0.437899
74,250,0.244302,0.439858
101,251,0.256016,0.469202
159,251,0.237059,0.453698
202,251,0.262546,0.466002
98,251,0.278985,0.451742
75,251,0.254070,0.504303
201,251,0.264369,0.506085
6,251,0.239747,0.437941
112,251,0.262764,0.479538
143,251,0.279843,0.495398
37,251,0.222675,0.462112
111,252,0.238595,0.451572
205,252,0.257802,0.432384
202,252,0.269403,0.468128
18,252,0.239908,0.424530
116,252,0.270064,0.461809
206,252,0.233125,0.437530
204,252,0.271401,0.411444
169,252,0.252653,0.435844
113,252,0.251438,0.413049
201,252,0.245130,0.449231
204,253,0.254019,0.417137
110,253,0.267646,0.488234
162,253,0.254127,0.465608
45,253,0.287002,0.473756
40,253,0.225127,0.474612
205,253,0.230969,0.459862
116,253,0.232636,0.485216
111,253,0.230115,0.470850
83,253,0.276952,0.478320
94,253,0.215497,0.448164
115,254,0.260183,0.478744
15,254,0.238098,0.465539
208,254,0.250991,0.496867
73,254,0.250852,0.479970
100,254,0.258883,0.515590
71,254,0.238533,0.467238
17,254,0.254150,0.441862
12,254,0.274713,0.455898
14,254,0.240040,0.504274
69,254,0.225534,0.484549
116,255,0.238849,0.456227
110,255,0.232334,0.450600
204,255,0.271510,0.397369
162,255,0.238991,0.417639
199,255,0.249171,0.444987
130,255,0.238622,0.414762
205,255,0.259796,0.434872
96,255,0.240946,0.433284
40,255,0.239555,0.459924
18,255,0.229500,0.424065
110,256,0.243253,0.473053
116,256,0.235424,0.460978
204,256,0.263186,0.418041
199,256,0.244647,0.474785
162,256,0.240359,0.448142
130,256,0.247089,0.451733
205,256,0.257067,0.456270
96,256,0.239778,0.402204
51,256,0.209875,0.439807
18,256,0.228257,0.444009
181,257,0.272871,0.431661
76,257,0.247423,0.437241
179,257,0.276190,0.471563
105,257,0.273833,0.432899
65,257,0.276588,0.427494
22,257,0.234475,0.472052
172,257,0.216556,0.409845
106,257,0.269552,0.415621
34,257,0.259675,0.413469
155,257,0.283958,0.403252
12,258,0.241406,0.504607
108,258,0.227875,0.496992
14,258,0.223560,0.526185
199,258,0.258692,0.521390
100,258,0.238285,0.475957
130,258,0.210034,0.476232
74,258,0.250440,0.485768
40,258,0.243584,0.518707
69,258,0.224529,0.481826
51,258,0.249582,0.538766
66,259,0.251295,0.416775
179,259,0.226450,0.496847
148,259,0.221291,0.424949
156,259,0.243930,0.460723
193,259,0.243181,0.445149
32,259,0.227737,0.491109
126,259,0.216512,0.395755
133,259,0.238812,0.431775
195,259,0.242585,0.409995
181,259,0.177278,0.405807
13,260,0.230862,0.424181
124,260,0.242075,0.444430
185,260,0.239502,0.452400
167,260,0.243697,0.442380
192,260,0.238866,0.473304
4,260,0.227152,0.463271
131,260,0.207937,0.422179
157,260,0.207043,0.469051
152,260,0.235643,0.431247
194,260,0.251518,0.437162
67,261,0.259135,0.382539
28,261,0.258951,0.472172
194,261,0.225548,0.510097
68,261,0.223524,0.453226
151,261,0.289015,0.451244
70,261,0.227634,0.419203
165,261,0.241534,0.427673
61,261,0.205036,0.437182
183,261,0.233106,0.421095
131,261,0.241872,0.423461
