name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak
156,0.1319,10,3096,239,2560
87,0.1335,7,2392,239,2560
3,0.1347,8,2998,239,2560
193,0.1362,10,2675,239,2560
155,0.1382,7,1921,239,2560
62,0.0906,15,3193,240,2540
85,0.1063,12,2205,240,2540
194,0.1145,16,2773,240,2540
70,0.115,14,2567,240,2540
183,0.1156,16,2351,240,2540
61,0.1204,15,2121,240,2540
67,0.1262,18,2281,240,2540
191,0.1342,13,1809,240,2540
28,0.1362,17,5009,240,2540
131,0.1413,18,3258,240,2540
71,0.3319,58,15210,241,7040
69,0.3397,54,15982,241,7040
130,0.3792,46,10694,241,7040
12,0.3867,66,9862,241,7040
96,0.4752,48,8638,241,7040
14,0.4897,65,11096,241,7040
199,0.5196,41,8656,241,7040
40,0.5379,48,11719,241,7040
17,0.5988,60,24421,241,7040
108,0.6663,52,5080,241,7040
46,0.226,20,4332,242,2380
128,0.233,14,3062,242,2380
158,0.2789,19,3890,242,2380
98,0.296,21,5921,242,2380
151,0.3008,18,2757,242,2380
52,0.3038,22,3147,242,2380
161,0.3136,15,3909,242,2380
170,0.314,24,4700,242,2380
165,0.3183,13,3034,242,2380
176,0.3335,21,5137,242,2380
125,0.1528,24,3512,243,4810
176,0.1642,21,5137,243,4810
167,0.1774,17,1408,243,4810
151,0.1852,18,2757,243,4810
52,0.1899,22,3147,243,4810
185,0.1912,17,2359,243,4810
28,0.2072,17,5009,243,4810
13,0.2165,22,1875,243,4810
4,0.2173,20,3948,243,4810
67,0.2181,18,2281,243,4810
115,0.4002,77,25066,244,23040
14,0.6301,65,11096,244,23040
100,0.6541,68,10354,244,23040
12,0.7341,66,9862,244,23040
71,0.91,58,15210,244,23040
15,0.9259,77,32022,244,23040
17,0.9972,60,24421,244,23040
69,1.0724,54,15982,244,23040
208,1.0844,108,22226,244,23040
73,1.1547,61,18449,244,23040
72,0.3889,10,6561,245,6530
203,0.3948,16,6974,245,6530
114,0.4278,9,3988,245,6530
44,0.4947,5,3651,245,6530
102,0.4988,12,6256,245,6530
41,0.5116,5,3749,245,6530
8,0.5345,8,6365,245,6530
39,0.5972,5,2675,245,6530
177,0.6283,6,2676,245,6530
117,0.6495,15,8130,245,6530
202,0.4605,27,7468,246,5910
206,0.5087,19,6402,246,5910
201,0.5617,24,6965,246,5910
203,0.5908,16,6974,246,5910
159,0.6223,26,5022,246,5910
113,0.63,28,21576,246,5910
98,0.6488,21,5921,246,5910
101,0.6491,26,7096,246,5910
200,0.6547,17,6615,246,5910
6,0.6555,21,5952,246,5910
102,0.3656,12,6256,247,2820
161,0.3658,15,3909,247,2820
160,0.3797,16,3739,247,2820
98,0.3806,21,5921,247,2820
200,0.3975,17,6615,247,2820
158,0.3989,19,3890,247,2820
128,0.4222,14,3062,247,2820
46,0.4457,20,4332,247,2820
42,0.448,13,5826,247,2820
203,0.4484,16,6974,247,2820
165,0.1924,13,3034,248,6520
128,0.2003,14,3062,248,6520
106,0.2231,7,3208,248,6520
66,0.2258,13,1879,248,6520
179,0.2438,10,1828,248,6520
148,0.2452,13,1680,248,6520
195,0.2487,12,1837,248,6520
68,0.2496,15,3238,248,6520
33,0.2497,13,2366,248,6520
97,0.2568,15,3951,248,6520
34,0.0791,6,1699,249,2990
129,0.0944,7,2353,249,2990
189,0.1018,7,2247,249,2990
35,0.1037,8,1236,249,2990
126,0.1084,8,1645,249,2990
76,0.1235,5,647,249,2990
155,0.1252,7,1921,249,2990
174,0.1312,8,4047,249,2990
172,0.1319,6,1958,249,2990
22,0.1342,5,1381,249,2990
69,0.2765,54,15982,250,5400
96,0.3877,48,8638,250,5400
45,0.4627,42,6591,250,5400
40,0.4751,48,11719,250,5400
17,0.511,60,24421,250,5400
130,0.514,46,10694,250,5400
71,0.5681,58,15210,250,5400
110,0.5872,45,13075,250,5400
204,0.6101,45,7359,250,5400
74,0.6409,43,9734,250,5400
101,0.2097,26,7096,251,7000
159,0.2177,26,5022,251,7000
202,0.2352,27,7468,251,7000
98,0.2642,21,5921,251,7000
75,0.2765,28,9565,251,7000
201,0.3109,24,6965,251,7000
6,0.3154,21,5952,251,7000
112,0.317,21,12921,251,7000
143,0.325,25,4492,251,7000
37,0.3283,25,7035,251,7000
111,0.5465,36,5057,252,11260
205,0.5572,38,11943,252,11260
202,0.5623,27,7468,252,11260
18,0.6416,33,13489,252,11260
116,0.6453,41,17994,252,11260
206,0.6935,19,6402,252,11260
204,0.7005,45,7359,252,11260
169,0.7059,33,2194,252,11260
113,0.7104,28,21576,252,11260
201,0.7366,24,6965,252,11260
204,0.2424,45,7359,253,8340
110,0.333,45,13075,253,8340
162,0.3865,41,7276,253,8340
45,0.3979,42,6591,253,8340
40,0.4205,48,11719,253,8340
205,0.4466,38,11943,253,8340
116,0.4646,41,17994,253,8340
111,0.4798,36,5057,253,8340
83,0.4824,42,6833,253,8340
94,0.5303,32,10962,253,8340
115,0.6725,77,25066,254,18030
15,0.7712,77,32022,254,18030
208,0.9095,108,22226,254,18030
73,1.006,61,18449,254,18030
100,1.1388,68,10354,254,18030
71,1.1678,58,15210,254,18030
17,1.2024,60,24421,254,18030
12,1.2765,66,9862,254,18030
14,1.3353,65,11096,254,18030
69,1.401,54,15982,254,18030
116,0.7494,41,17994,255,20520
110,0.8536,45,13075,255,20520
204,0.8973,45,7359,255,20520
162,0.9132,41,7276,255,20520
199,0.9381,41,8656,255,20520
130,1.0201,46,10694,255,20520
205,1.0218,38,11943,255,20520
96,1.0536,48,8638,255,20520
40,1.0555,48,11719,255,20520
18,1.0719,33,13489,255,20520
110,0.2796,45,13075,256,13130
116,0.3643,41,17994,256,13130
204,0.4157,45,7359,256,13130
199,0.4678,41,8656,256,13130
162,0.4845,41,7276,256,13130
130,0.4998,46,10694,256,13130
205,0.5396,38,11943,256,13130
96,0.6284,48,8638,256,13130
51,0.6661,41,4414,256,13130
18,0.672,33,13489,256,13130
181,0.1057,8,2381,257,1140
76,0.1192,5,647,257,1140
179,0.1273,10,1828,257,1140
105,0.1346,6,3431,257,1140
65,0.1375,6,2200,257,1140
22,0.1424,5,1381,257,1140
172,0.1506,6,1958,257,1140
106,0.1573,7,3208,257,1140
34,0.1665,6,1699,257,1140
155,0.167,7,1921,257,1140
12,0.443,66,9862,258,13340
108,0.5127,52,5080,258,13340
14,0.5413,65,11096,258,13340
199,0.5953,41,8656,258,13340
100,0.6282,68,10354,258,13340
130,0.6283,46,10694,258,13340
74,0.6862,43,9734,258,13340
40,0.7668,48,11719,258,13340
69,0.7926,54,15982,258,13340
51,0.8004,41,4414,258,13340
66,0.0901,13,1879,259,1425
179,0.0996,10,1828,259,1425
148,0.1068,13,1680,259,1425
156,0.1109,10,3096,259,1425
193,0.1202,10,2675,259,1425
32,0.1218,11,1395,259,1425
126,0.1232,8,1645,259,1425
133,0.16,8,2875,259,1425
195,0.1614,12,1837,259,1425
181,0.1616,8,2381,259,1425
13,0.061,22,1875,260,4782
124,0.1163,22,5410,260,4782
185,0.1413,17,2359,260,4782
167,0.1915,17,1408,260,4782
192,0.1939,25,3227,260,4782
4,0.1973,20,3948,260,4782
131,0.2008,18,3258,260,4782
157,0.2112,25,2783,260,4782
152,0.2131,22,1771,260,4782
194,0.2133,16,2773,260,4782
67,0.0935,18,2281,261,2917
28,0.1172,17,5009,261,2917
194,0.1231,16,2773,261,2917
68,0.1258,15,3238,261,2917
151,0.1392,18,2757,261,2917
70,0.1619,14,2567,261,2917
165,0.1729,13,3034,261,2917
61,0.173,15,2121,261,2917
183,0.1733,16,2351,261,2917
131,0.1801,18,3258,261,2917
