name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak,hydrological similarity,temporal similarity,spatial similarity,fusion similarity
79,0.1179,15,1563,215,1351,0.1179,0.467089,0.225931,585.6527850007582
185,0.1185,17,2359,215,1351,0.1185,0.479334,0.259781,587.0453287792744
183,0.1186,16,2351,215,1351,0.1186,0.453401,0.212934,586.3923733919199
33,0.123,13,2366,215,1351,0.123,0.423391,0.259726,589.6849887733199
141,0.1515,12,2179,215,1351,0.1515,0.484584,0.237871,726.8634640960651
67,0.1544,18,2281,215,1351,0.1544,0.410473,0.255358,715.4472950911357
28,0.1553,17,5009,215,1351,0.1553,0.464504,0.283896,730.6070865576888
151,0.1337,18,2757,216,1340,0.1337,0.46801,0.251804,647.2742856356191
67,0.1426,18,2281,216,1340,0.1426,0.444112,0.238988,678.7445865207247
131,0.1467,18,3258,216,1340,0.1467,0.478009,0.21294,708.6482877302606
148,0.1583,13,1680,216,1340,0.1583,0.45722,0.22893,748.217659690232
68,0.1803,15,3238,216,1340,0.1803,0.467992,0.210466,844.0043224588362
28,0.1898,17,5009,216,1340,0.1898,0.492336,0.273239,881.4626164232708
46,0.1945,20,4332,216,1340,0.1945,0.517161,0.268314,908.4313243475499
66,0.207,13,1879,216,1340,0.207,0.434713,0.252193,938.5462386257049
167,0.2097,17,1408,216,1340,0.2097,0.468469,0.27257,956.4470435497243
183,0.2134,16,2351,216,1340,0.2134,0.433969,0.222322,968.5959781177576
195,0.0536,12,1837,217,2003,0.0536,0.396043,0.23307,300.7715565742837
127,0.0727,13,3302,217,2003,0.0727,0.460441,0.22873,397.9429998828583
153,0.0753,12,2165,217,2003,0.0753,0.480027,0.211027,416.52462267787627
196,0.1165,11,1590,217,2003,0.1165,0.397267,0.223449,560.4825768259808
197,0.1187,12,1482,217,2003,0.1187,0.417963,0.230187,574.4631375731781
148,0.13,13,1680,217,2003,0.13,0.465777,0.246723,632.1420728992092
150,0.1322,13,1507,217,2003,0.1322,0.474345,0.223733,646.6728097311343
66,0.134,13,1879,217,2003,0.134,0.433229,0.258736,637.7341106919209
99,0.1421,10,2281,217,2003,0.1421,0.411217,0.235172,667.8955042767511
165,0.1441,13,3034,217,2003,0.1441,0.461115,0.22523,691.5535574919406
14,0.3348,65,11096,218,9108,0.3348,0.462594,0.2571,1470.136457085769
12,0.3706,66,9862,218,9108,0.3706,0.445749,0.277828,1609.4787514509628
100,0.4321,68,10354,218,9108,0.4321,0.490218,0.28953,1872.8269803527223
115,0.5587,77,25066,218,9108,0.5587,0.497503,0.276737,2396.036305630493
71,0.5805,58,15210,218,9108,0.5805,0.472343,0.232882,2484.2354265897857
17,0.8227,60,24421,218,9108,0.8227,0.409267,0.2668,3455.578098779063
69,0.8427,54,15982,218,9108,0.8427,0.42535,0.222198,3548.163097067263
108,0.9734,52,5080,218,9108,0.9734,0.458906,0.260113,4088.836237257034
130,0.9974,46,10694,218,9108,0.9974,0.45715,0.241923,4189.246875803368
199,1.0614,41,8656,218,9108,1.0614,0.425438,0.255475,4441.046629239642
183,0.0745,16,2351,219,2675,0.0745,0.47655,0.228677,409.89401656801414
167,0.0871,17,1408,219,2675,0.0871,0.457133,0.228592,456.1079241002135
33,0.0968,13,2366,219,2675,0.0968,0.44374,0.239994,490.58922070638346
151,0.0969,18,2757,219,2675,0.0969,0.464017,0.265194,493.3619292464095
79,0.1165,15,1563,219,2675,0.1165,0.482844,0.208244,586.7363308809968
131,0.1266,18,3258,219,2675,0.1266,0.491277,0.226077,628.173766031415
185,0.1347,17,2359,219,2675,0.1347,0.500176,0.22091,664.6181259132231
28,0.1368,17,5009,219,2675,0.1368,0.51255,0.245251,673.4753847439843
67,0.1385,18,2281,219,2675,0.1385,0.435896,0.241385,659.2763801132464
61,0.1512,15,2121,219,2675,0.1512,0.484796,0.206495,729.8955408291143
56,0.086,13,3410,220,2765,0.086,0.468268,0.216128,456.41532113307073
30,0.099,12,1381,220,2765,0.099,0.422293,0.261271,490.6963924478236
60,0.1097,11,2371,220,2765,0.1097,0.415948,0.271522,531.4293012805235
149,0.1141,14,2067,220,2765,0.1141,0.429237,0.254044,555.5841494016212
173,0.1212,12,1943,220,2765,0.1212,0.4466,0.291503,584.6107719065758
188,0.1256,10,3159,220,2765,0.1256,0.445242,0.290913,602.3585141009613
85,0.1264,12,2205,220,2765,0.1264,0.46075,0.2897,610.1918898576874
141,0.1374,12,2179,220,2765,0.1374,0.414993,0.261428,646.1630445114985
32,0.1399,11,1395,220,2765,0.1399,0.429828,0.23778,663.7862743767533
191,0.1425,13,1809,220,2765,0.1425,0.411461,0.289339,662.3497967420233
186,0.0468,7,2166,221,1979,0.0468,0.501367,0.245553,301.0043682614032
36,0.0636,6,1487,221,1979,0.0636,0.455293,0.259177,355.07077898151965
87,0.0667,7,2392,221,1979,0.0667,0.43733,0.262966,362.19913251825267
34,0.0712,6,1699,221,1979,0.0712,0.461094,0.233263,391.36613857914153
24,0.0758,5,2031,221,1979,0.0758,0.463701,0.25642,407.87547733023945
121,0.0815,5,1627,221,1979,0.0815,0.478388,0.242899,437.22971956060644
86,0.0836,7,1911,221,1979,0.0836,0.467846,0.262258,440.26946794464465
103,0.0884,7,1866,221,1979,0.0884,0.473815,0.277575,459.6009985556828
78,0.0887,6,1354,221,1979,0.0887,0.505085,0.260947,471.9082148977305
23,0.0931,6,1637,221,1979,0.0931,0.475023,0.232664,485.24278291260447
187,0.0477,9,1677,222,2391,0.0477,0.421039,0.238641,282.89134119784717
182,0.0554,9,2126,222,2391,0.0554,0.472398,0.216277,332.0136664626999
84,0.0625,8,1771,222,2391,0.0625,0.453505,0.293472,345.45756716104194
144,0.0838,6,1551,222,2391,0.0838,0.471314,0.28717,438.7343636626556
25,0.084,8,1533,222,2391,0.084,0.475999,0.186073,454.4231808067054
107,0.0872,10,1570,222,2391,0.0872,0.464894,0.278534,452.02448462188124
49,0.0947,8,848,222,2391,0.0947,0.447475,0.246737,482.1267043829054
188,0.0953,10,3159,222,2391,0.0953,0.443756,0.301099,476.25399884225936
19,0.0954,5,1888,222,2391,0.0954,0.468306,0.235245,492.43303434259985
29,0.0956,7,1798,222,2391,0.0956,0.509661,0.285658,498.2033806348548
146,0.0709,7,1657,223,580,0.0709,0.440125,0.232254,384.3365095558177
121,0.0738,5,1627,223,580,0.0738,0.480615,0.252377,404.99754800422676
55,0.0739,7,1629,223,580,0.0739,0.455416,0.225557,401.8695875057007
86,0.0813,7,1911,223,580,0.0813,0.43156,0.22332,425.7802319011226
58,0.0928,5,1917,223,580,0.0928,0.452806,0.237653,477.05652738095034
57,0.1006,5,1369,223,580,0.1006,0.443611,0.206898,510.57731753046005
23,0.101,6,1637,223,580,0.101,0.507786,0.228974,527.4218437039816
24,0.1015,5,2031,223,580,0.1015,0.452231,0.247326,511.29377313481507
80,0.1048,5,1321,223,580,0.1048,0.437909,0.238591,521.9507162048726
186,0.1087,7,2166,223,580,0.1087,0.461269,0.242266,544.0704752314548
87,0.0446,7,2392,224,1800,0.0446,0.447915,0.251116,276.1065856795645
24,0.0522,5,2031,224,1800,0.0522,0.456371,0.278223,306.0508438890902
