name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak,hydrological similarity,temporal similarity,spatial similarity,fusion similarity
14,0.6301,65,11096,244,23040,0.6301,0.470885,0.236627,2686.827739532457
100,0.6541,68,10354,244,23040,0.6541,0.445814,0.247654,2776.726831479273
12,0.7341,66,9862,244,23040,0.7341,0.438886,0.236906,3104.442458596185
71,0.91,58,15210,244,23040,0.91,0.466614,0.19507,3839.6029698972966
15,0.9259,77,32022,244,23040,0.9259,0.435613,0.227577,3891.7126760082206
17,0.9972,60,24421,244,23040,0.9972,0.473987,0.243408,4192.991972622983
69,1.0724,54,15982,244,23040,1.0724,0.430452,0.246552,4488.793298291037
208,1.0844,108,22226,244,23040,1.0844,0.447866,0.239609,4543.886699947159
73,1.1547,61,18449,244,23040,1.1547,0.46517,0.238927,4837.312555167496
72,0.3889,10,6561,245,6530,0.3889,0.441122,0.243756,1687.8175706179463
203,0.3948,16,6974,245,6530,0.3948,0.448408,0.297419,1706.898405842004
114,0.4278,9,3988,245,6530,0.4278,0.449673,0.276721,1845.4264943183782
44,0.4947,5,3651,245,6530,0.4947,0.455117,0.269753,2122.388146715683
102,0.4988,12,6256,245,6530,0.4988,0.485632,0.25119,2150.3321413720346
41,0.5116,5,3749,245,6530,0.5116,0.48897,0.289724,2198.6327471939962
8,0.5345,8,6365,245,6530,0.5345,0.491498,0.294694,2292.6400444847436
39,0.5972,5,2675,245,6530,0.5972,0.486163,0.296533,2548.139254345164
177,0.6283,6,2676,245,6530,0.6283,0.459367,0.267412,2672.059201421193
117,0.6495,15,8130,245,6530,0.6495,0.479771,0.302064,2760.1740563412386
202,0.4605,27,7468,246,5910,0.4605,0.474609,0.252576,1989.8839663614233
206,0.5087,19,6402,246,5910,0.5087,0.440503,0.272728,2175.2954638434207
201,0.5617,24,6965,246,5910,0.5617,0.488602,0.269969,2406.7329320879094
203,0.5908,16,6974,246,5910,0.5908,0.459081,0.239716,2521.8274733536828
159,0.6223,26,5022,246,5910,0.6223,0.468865,0.263553,2650.64619112821
113,0.63,28,21576,246,5910,0.63,0.437559,0.233484,2677.407721246877
98,0.6488,21,5921,246,5910,0.6488,0.460413,0.256642,2757.9084746205476
101,0.6491,26,7096,246,5910,0.6491,0.480826,0.247865,2766.0916473680354
200,0.6547,17,6615,246,5910,0.6547,0.460722,0.261832,2781.508124886719
6,0.6555,21,5952,246,5910,0.6555,0.422087,0.212229,2780.501948021932
102,0.3656,12,6256,247,2820,0.3656,0.470785,0.224132,1603.2416229042458
161,0.3658,15,3909,247,2820,0.3658,0.427373,0.254279,1587.73894864106
160,0.3797,16,3739,247,2820,0.3797,0.475121,0.284586,1654.2221962574508
98,0.3806,21,5921,247,2820,0.3806,0.458043,0.229261,1660.4931031068731
200,0.3975,17,6615,247,2820,0.3975,0.496112,0.209209,1743.2920454004588
158,0.3989,19,3890,247,2820,0.3989,0.44624,0.265733,1727.3515071709453
128,0.4222,14,3062,247,2820,0.4222,0.478407,0.250317,1834.118171194048
46,0.4457,20,4332,247,2820,0.4457,0.532022,0.265928,1943.6186586730546
42,0.448,13,5826,247,2820,0.448,0.479716,0.222277,1944.1009325626308
203,0.4484,16,6974,247,2820,0.4484,0.518724,0.249973,1953.0707596876673
165,0.1924,13,3034,248,6520,0.1924,0.468373,0.22795,891.415826177447
128,0.2003,14,3062,248,6520,0.2003,0.462122,0.237634,920.7630141439265
106,0.2231,7,3208,248,6520,0.2231,0.473138,0.239358,1017.1968065867746
66,0.2258,13,1879,248,6520,0.2258,0.423007,0.22897,1015.4800103758555
179,0.2438,10,1828,248,6520,0.2438,0.492434,0.246476,1106.6349527240318
148,0.2452,13,1680,248,6520,0.2452,0.485264,0.2635,1108.0696413584214
195,0.2487,12,1837,248,6520,0.2487,0.489536,0.276445,1121.904846884112
68,0.2496,15,3238,248,6520,0.2496,0.521956,0.224563,1141.7217162217992
33,0.2497,13,2366,248,6520,0.2497,0.464171,0.234776,1124.411667452677
97,0.2568,15,3951,248,6520,0.2568,0.444969,0.270445,1143.3307391552955
34,0.0791,6,1699,249,2990,0.0791,0.435785,0.220218,418.3648689903581
129,0.0944,7,2353,249,2990,0.0944,0.46922,0.281087,482.4479644769926
189,0.1018,7,2247,249,2990,0.1018,0.455446,0.225728,516.3276139554918
35,0.1037,8,1236,249,2990,0.1037,0.440223,0.22313,520.1633694837121
126,0.1084,8,1645,249,2990,0.1084,0.453135,0.231839,541.9345406533123
76,0.1235,5,647,249,2990,0.1235,0.432538,0.230164,598.2849021675726
155,0.1252,7,1921,249,2990,0.1252,0.453876,0.265293,606.5925465506677
174,0.1312,8,4047,249,2990,0.1312,0.432083,0.216436,631.5878308861439
172,0.1319,6,1958,249,2990,0.1319,0.435491,0.252549,630.5867956190534
22,0.1342,5,1381,249,2990,0.1342,0.485937,0.240549,655.9064901411077
69,0.2765,54,15982,250,5400,0.2765,0.451619,0.25373,1228.2798559983146
96,0.3877,48,8638,250,5400,0.3877,0.430277,0.267003,1676.7110064917365
45,0.4627,42,6591,250,5400,0.4627,0.442862,0.245676,1990.8508458229437
40,0.4751,48,11719,250,5400,0.4751,0.465704,0.213853,2052.454268753886
17,0.511,60,24421,250,5400,0.511,0.422095,0.222384,2186.2669085700495
130,0.514,46,10694,250,5400,0.514,0.420002,0.263812,2192.434001116979
71,0.5681,58,15210,250,5400,0.5681,0.444725,0.21554,2427.8663645260126
110,0.5872,45,13075,250,5400,0.5872,0.463889,0.250852,2506.9257029314585
204,0.6101,45,7359,250,5400,0.6101,0.437899,0.220498,2597.5946713887365
74,0.6409,43,9734,250,5400,0.6409,0.439858,0.244302,2721.3313870857246
101,0.2097,26,7096,251,7000,0.2097,0.469202,0.256016,958.8719614599501
159,0.2177,26,5022,251,7000,0.2177,0.453698,0.237059,989.84759256489
202,0.2352,27,7468,251,7000,0.2352,0.466002,0.262546,1061.7170363926243
98,0.2642,21,5921,251,7000,0.2642,0.451742,0.278985,1174.4652849187266
75,0.2765,28,9565,251,7000,0.2765,0.504303,0.25407,1243.1430694789713
201,0.3109,24,6965,251,7000,0.3109,0.506085,0.264369,1383.4093963360278
6,0.3154,21,5952,251,7000,0.3154,0.437941,0.239747,1385.887233048341
112,0.317,21,12921,251,7000,0.317,0.479538,0.262764,1401.140028332768
143,0.325,25,4492,251,7000,0.325,0.495398,0.279843,1436.1639863835585
37,0.3283,25,7035,251,7000,0.3283,0.462112,0.222675,1447.9422504670338
111,0.5465,36,5057,252,11260,0.5465,0.451572,0.238595,2338.091801396318
205,0.5572,38,11943,252,11260,0.5572,0.432384,0.257802,2373.990639094064
202,0.5623,27,7468,252,11260,0.5623,0.468128,0.269403,2403.4766978338344
18,0.6416,33,13489,252,11260,0.6416,0.42453,0.239908,2720.4544663806532
116,0.6453,41,17994,252,11260,0.6453,0.461809,0.270064,2742.1452353861455
206,0.6935,19,6402,252,11260,0.6935,0.43753,0.233125,2937.985244084715
204,0.7005,45,7359,252,11260,0.7005,0.411444,0.271401,2954.1967340793813
169,0.7059,33,2194,252,11260,0.7059,0.435844,0.252653,2985.768901302767
113,0.7104,28,21576,252,11260,0.7104,0.413049,0.251438,2997.9443209841725
201,0.7366,24,6965,252,11260,0.7366,0.449231,0.24513,3116.525675671778
204,0.2424,45,7359,253,8340,0.2424,0.417137,0.254019,1078.5725057560937
110,0.333,45,13075,253,8340,0.333,0.488234,0.267646,1468.5941731979744
162,0.3865,41,7276,253,8340,0.3865,0.465608,0.254127,1683.510391700482
45,0.3979,42,6591,253,8340,0.3979,0.473756,0.287002,1728.1860673436365
40,0.4205,48,11719,253,8340,0.4205,0.474612,0.225127,1829.4435465726979
205,0.4466,38,11943,253,8340,0.4466,0.459862,0.230969,1931.5740839015662
116,0.4646,41,17994,253,8340,0.4646,0.485216,0.232636,2012.3787605121677
111,0.4798,36,5057,253,8340,0.4798,0.47085,0.230115,2071.016020155616
83,0.4824,42,6833,253,8340,0.4824,0.47832,0.276952,2077.523549674931
94,0.5303,32,10962,253,8340,0.5303,0.448164,0.215497,2273.7536112131784
115,0.6725,77,25066,254,18030,0.6725,0.478744,0.260183,2859.8615623800893
15,0.7712,77,32022,254,18030,0.7712,0.465539,0.238098,3264.0448003580523
208,0.9095,108,22226,254,18030,0.9095,0.496867,0.250991,3838.6217293585773
73,1.006,61,18449,254,18030,1.006,0.47997,0.250852,4229.793912149794
100,1.1388,68,10354,254,18030,1.1388,0.51559,0.258883,4783.67044756824
71,1.1678,58,15210,254,18030,1.1678,0.467238,0.238533,4891.699255366233
17,1.2024,60,24421,254,18030,1.2024,0.441862,0.25415,5024.388506316277
12,1.2765,66,9862,254,18030,1.2765,0.455898,0.274713,5329.63492394218
14,1.3353,65,11096,254,18030,1.3353,0.504274,0.24004,5589.2229558963
69,1.401,54,15982,254,18030,1.401,0.484549,0.225534,5855.1483765564235
116,0.7494,41,17994,255,20520,0.7494,0.456227,0.238849,3171.864630046501
110,0.8536,45,13075,255,20520,0.8536,0.4506,0.232334,3598.6728986458743
204,0.8973,45,7359,255,20520,0.8973,0.397369,0.27151,3757.6606603112027
162,0.9132,41,7276,255,20520,0.9132,0.417639,0.238991,3832.9898219560746
199,0.9381,41,8656,255,20520,0.9381,0.444987,0.249171,3941.5288004605113
130,1.0201,46,10694,255,20520,1.0201,0.414762,0.238622,4270.8309893305795
205,1.0218,38,11943,255,20520,1.0218,0.434872,0.259796,4280.660470002836
96,1.0536,48,8638,255,20520,1.0536,0.433284,0.240946,4413.210108859864
40,1.0555,48,11719,255,20520,1.0555,0.459924,0.239555,4428.730763085053
18,1.0719,33,13489,255,20520,1.0719,0.424065,0.2295,4487.218598275476
110,0.2796,45,13075,256,13130,0.2796,0.473053,0.243253,1248.4679532584619
116,0.3643,41,17994,256,13130,0.3643,0.460978,0.235424,1593.6199326688616
204,0.4157,45,7359,256,13130,0.4157,0.418041,0.263186,1788.6424522544594
199,0.4678,41,8656,256,13130,0.4678,0.474785,0.244647,2020.9474715992378
162,0.4845,41,7276,256,13130,0.4845,0.448142,0.240359,2082.501660718052
130,0.4998,46,10694,256,13130,0.4998,0.451733,0.247089,2145.391552228575
205,0.5396,38,11943,256,13130,0.5396,0.45627,0.257067,2308.636457816761
96,0.6284,48,8638,256,13130,0.6284,0.402204,0.239778,2659.994962015678
51,0.6661,41,4414,256,13130,0.6661,0.439807,0.209875,2829.323086752828
18,0.672,33,13489,256,13130,0.672,0.444009,0.228257,2852.257262188662
181,0.1057,8,2381,257,1140,0.1057,0.431661,0.272871,519.2833125120201
76,0.1192,5,647,257,1140,0.1192,0.437241,0.247423,579.66114374421
179,0.1273,10,1828,257,1140,0.1273,0.471563,0.27619,618.7541926492668
105,0.1346,6,3431,257,1140,0.1346,0.432899,0.273833,638.0801808899517
65,0.1375,6,2200,257,1140,0.1375,0.427494,0.276588,648.0801728638603
22,0.1424,5,1381,257,1140,0.1424,0.472052,0.234475,686.4351226134748
172,0.1506,6,1958,257,1140,0.1506,0.409845,0.216556,704.8760719166137
106,0.1573,7,3208,257,1140,0.1573,0.415621,0.269552,726.9013123806926
34,0.1665,6,1699,257,1140,0.1665,0.413469,0.259675,765.3625882339634
155,0.167,7,1921,257,1140,0.167,0.403252,0.283958,761.2699845004565
12,0.443,66,9862,258,13340,0.443,0.504607,0.241406,1928.0675020618687
108,0.5127,52,5080,258,13340,0.5127,0.496992,0.227875,2213.7010793919417
14,0.5413,65,11096,258,13340,0.5413,0.526185,0.22356,2339.8847747169184
199,0.5953,41,8656,258,13340,0.5953,0.52139,0.258692,2555.3813260059283
100,0.6282,68,10354,258,13340,0.6282,0.475957,0.238285,2680.24532546438
130,0.6283,46,10694,258,13340,0.6283,0.476232,0.210034,2684.5178029886943
74,0.6862,43,9734,258,13340,0.6862,0.485768,0.25044,2919.3648518156633
40,0.7668,48,11719,258,13340,0.7668,0.518707,0.243584,3260.3026443957374
69,0.7926,54,15982,258,13340,0.7926,0.481826,0.224529,3358.2746404838254
51,0.8004,41,4414,258,13340,0.8004,0.538766,0.249582,3403.0348561932838
66,0.0901,13,1879,259,1425,0.0901,0.416775,0.251295,453.9549191745619
179,0.0996,10,1828,259,1425,0.0996,0.496847,0.22645,518.920241041448
148,0.1068,13,1680,259,1425,0.1068,0.424949,0.221291,528.8065669376183
156,0.1109,10,3096,259,1425,0.1109,0.460723,0.24393,552.71956552815
193,0.1202,10,2675,259,1425,0.1202,0.445149,0.243181,586.5701774346429
32,0.1218,11,1395,259,1425,0.1218,0.491109,0.227737,608.209675632513
126,0.1232,8,1645,259,1425,0.1232,0.395755,0.216512,588.4737478570831
133,0.16,8,2875,259,1425,0.16,0.431775,0.238812,746.6683983629564
195,0.1614,12,1837,259,1425,0.1614,0.409995,0.242585,745.7437197206481
181,0.1616,8,2381,259,1425,0.1616,0.405807,0.177278,754.127367289507
13,0.061,22,1875,260,4782,0.061,0.424181,0.230862,339.391815098423
124,0.1163,22,5410,260,4782,0.1163,0.44443,0.242075,570.5133413958789
185,0.1413,17,2359,260,4782,0.1413,0.4524,0.239502,675.6872682078841
167,0.1915,17,1408,260,4782,0.1915,0.44238,0.243697,878.2581606571174
192,0.1939,25,3227,260,4782,0.1939,0.473304,0.238866,897.5034032081737
4,0.1973,20,3948,260,4782,0.1973,0.463271,0.227152,910.1834143136641
131,0.2008,18,3258,260,4782,0.2008,0.422179,0.207937,915.4892997745396
157,0.2112,25,2783,260,4782,0.2112,0.469051,0.207043,971.5438389627208
152,0.2131,22,1771,260,4782,0.2131,0.431247,0.235643,964.810393798084
194,0.2133,16,2773,260,4782,0.2133,0.437162,0.251518,965.1783035942511
67,0.0935,18,2281,261,2917,0.0935,0.382539,0.259135,457.1665000744874
28,0.1172,17,5009,261,2917,0.1172,0.472172,0.258951,579.7959345825028
194,0.1231,16,2773,261,2917,0.1231,0.510097,0.225548,619.2100551394504
68,0.1258,15,3238,261,2917,0.1258,0.453226,0.223524,614.4655438475104
151,0.1392,18,2757,261,2917,0.1392,0.451244,0.289015,660.1114212500531
70,0.1619,14,2567,261,2917,0.1619,0.419203,0.227634,752.4036794061411
165,0.1729,13,3034,261,2917,0.1729,0.427673,0.241534,798.0710892595747
61,0.173,15,2121,261,2917,0.173,0.437182,0.205036,806.0613726097379
183,0.1733,16,2351,261,2917,0.1733,0.421095,0.233106,798.979771168776
131,0.1801,18,3258,261,2917,0.1801,0.423461,0.241872,826.3751572185512
